filename,emotion,mfcc
1001_IEO_NEU_XX,NEU,"[-968.6711    -968.6711    -943.8492    ...  -10.70455     -1.2477703
    1.382096 ]"
1001_IEO_HAP_LO,NEU,"[-8.8607971e+02 -8.8607971e+02 -8.0256653e+02 ... -1.7982704e+01
 -1.6952473e+01 -7.0488203e-01]"
1001_IEO_HAP_MD,NEU,"[-838.26636   -838.26636   -800.99176   ...   -5.488119     3.6466994
  -20.736969 ]"
1001_IEO_HAP_HI,HAP,"[-755.42706  -755.42706  -729.16034  ...  -12.945233   -9.938465
  -11.044639]"
1001_IEO_SAD_LO,NEU,"[-995.4856    -995.4856    -832.2729    ...   12.630985     8.7300005
    3.5480883]"
1001_IEO_SAD_MD,NEU,"[-1003.3302    -1001.1427     -771.6263    ...     3.0497205     3.2434301
     1.9699485]"
1001_IEO_SAD_HI,NEU,"[-948.1391    -948.06586   -811.23236   ...   -6.337144    -2.8893535
    3.3518949]"
1001_IEO_ANG_LO,NEU,"[-882.02997   -882.02997   -786.4184    ...   13.127986     4.6388206
    6.2883306]"
1001_IEO_ANG_MD,DIS,"[-924.2466    -924.2466    -858.87476   ...    5.229931     4.9648514
    4.5538516]"
1001_IEO_ANG_HI,DIS,"[-759.8757    -759.8757    -739.73224   ...    7.2843046   13.103884
    5.8244896]"
1001_IEO_FEA_LO,NEU,"[-8.8127704e+02 -8.8127704e+02 -8.3976575e+02 ... -7.7218046e+00
 -1.7261565e+00  8.4595114e-01]"
1001_IEO_FEA_MD,FEA,"[-840.7866   -840.7866   -796.2915   ...   -6.777487  -11.226414
   -4.759569]"
1001_IEO_FEA_HI,DIS,"[-7.3596973e+02 -7.3596973e+02 -7.1780206e+02 ... -4.5150387e-01
 -3.1742547e+00 -2.4116359e+00]"
1001_IEO_DIS_LO,NEU,"[-1061.4972    -1049.488      -866.27277   ...    10.482171      2.4828248
    -5.8171644]"
1001_IEO_DIS_MD,NEU,"[-895.4972   -895.4972   -779.1129   ...  -13.622503  -15.574126
   -3.854858]"
1001_IEO_DIS_HI,ANG,"[-827.23206   -827.23206   -778.23773   ...   -2.6125944   -6.637507
    8.302267 ]"
1001_TIE_NEU_XX,NEU,"[-8.7807709e+02 -8.7807709e+02 -7.8790979e+02 ... -6.3122749e+00
  1.1418539e-01  2.1633272e+00]"
1001_TIE_HAP_XX,NEU,"[-7.6041486e+02 -7.6041486e+02 -7.1216461e+02 ...  3.9114342e+00
  8.7416470e-01 -5.8805835e-01]"
1001_TIE_SAD_XX,NEU,"[-983.4505    -983.23065   -816.7613    ...    4.7931547  -12.286528
   -8.390876 ]"
1001_TIE_ANG_XX,ANG,"[-885.28033  -885.28033  -824.15704  ...   -8.670883  -18.852264
  -11.791054]"
1001_TIE_FEA_XX,ANG,"[-841.3315    -841.3315    -803.1117    ...    3.5366564   -2.3341017
   -1.1505141]"
1001_TIE_DIS_XX,DIS,"[-873.02905    -873.02905    -828.0266     ...   10.302195      0.94688654
   -3.9192388 ]"
1001_IOM_NEU_XX,NEU,"[-8.6246716e+02 -8.6246716e+02 -8.6226752e+02 ...  8.8434935e-02
  3.3533740e+00 -2.8242850e+00]"
1001_IOM_HAP_XX,NEU,"[-831.374     -831.374     -831.374     ...   -6.9173098   -3.7121675
    2.3890977]"
1001_IOM_SAD_XX,NEU,"[-942.8418    -942.8418    -910.90234   ...   -1.0740123   -6.128277
   -1.0575554]"
1001_IOM_ANG_XX,NEU,"[-831.64154   -831.64154   -829.24835   ...  -12.548194    -2.9466457
   -3.2384608]"
1001_IOM_FEA_XX,ANG,"[-8.26194092e+02 -8.26194092e+02 -8.26060364e+02 ... -1.48456545e+01
  3.99769354e+00  1.78664595e-01]"
1001_IOM_DIS_XX,NEU,"[-956.3572   -956.3572   -939.44794  ...    8.158387   14.039143
    5.670149]"
1001_IWW_NEU_XX,NEU,"[-903.35236   -903.35236   -898.25995   ...   11.77026      4.8232913
    2.0549607]"
1001_IWW_HAP_XX,NEU,"[-836.1506    -836.1506    -835.3608    ...   22.89429      7.7067227
    8.980431 ]"
1001_IWW_SAD_XX,NEU,"[-979.0854   -979.0854   -917.1865   ...   36.06345    20.16018
    9.558163]"
1001_IWW_ANG_XX,DIS,"[-821.90314   -821.90314   -821.90314   ...    1.1016269   10.348679
   -2.8575294]"
1001_IWW_FEA_XX,ANG,"[-8.3906152e+02 -8.3906152e+02 -8.3596429e+02 ... -1.6673207e-01
 -3.6372213e+00 -1.7893389e+01]"
1001_IWW_DIS_XX,NEU,"[-933.48193  -933.48193  -899.6171   ...  -12.619856    6.158621
    9.298551]"
1001_TAI_NEU_XX,NEU,"[-820.3589   -820.3589   -820.2073   ...   20.00705    27.998264
   12.416317]"
1001_TAI_HAP_XX,NEU,"[-827.4984    -827.4984    -827.4984    ...   -7.457793    -8.071906
   -7.2474384]"
1001_TAI_SAD_XX,NEU,"[-1.0000400e+03 -9.9999280e+02 -9.2417371e+02 ...  3.7278154e-01
  8.7006292e+00 -7.2444558e+00]"
1001_TAI_ANG_XX,NEU,"[-810.375    -810.375    -810.17664  ...  -14.97755   -22.477045
  -19.122286]"
1001_TAI_FEA_XX,ANG,"[-786.08606  -786.08606  -786.06274  ...  -27.350327  -31.435726
  -14.690371]"
1001_TAI_DIS_XX,NEU,"[-863.3454    -863.3454    -863.3228    ...  -11.830193    -1.6491967
   -7.051981 ]"
1001_MTI_NEU_XX,NEU,"[-867.5482    -867.5482    -866.5789    ...   -4.1229095    8.965271
   -5.669282 ]"
1001_MTI_HAP_XX,NEU,"[-7.8701917e+02 -7.8701917e+02 -7.8701917e+02 ...  2.3545271e-01
  5.5266891e+00 -1.0983467e+00]"
1001_MTI_SAD_XX,NEU,"[-910.68427   -910.68427   -897.48145   ...    5.766315     5.660409
   -3.0909534]"
1001_MTI_ANG_XX,NEU,"[-792.2353    -792.2353    -792.2164    ...   -8.3353      -6.135972
   -5.0298834]"
1001_MTI_FEA_XX,NEU,"[-7.6226483e+02 -7.6226483e+02 -7.6226483e+02 ...  1.6181519e+01
  2.1727711e+01 -6.3488364e-01]"
1001_MTI_DIS_XX,NEU,[-884.0098 -884.0098 -883.8925 ...    0.        0.       -7.1034]
1001_IWL_NEU_XX,NEU,"[-873.6648    -873.6648    -871.6548    ...   -4.9936113   -5.8429093
   -5.0805616]"
1001_IWL_HAP_XX,NEU,"[-787.54535   -787.54535   -787.54535   ...   -2.8276052   -3.6530325
   -0.9929925]"
1001_IWL_SAD_XX,NEU,"[-9.6296472e+02 -9.6274280e+02 -9.1268976e+02 ...  8.4609962e-01
 -1.4139125e+01  3.3369207e+00]"
1001_IWL_ANG_XX,ANG,"[-799.8821    -799.8821    -799.8821    ...  -20.710484   -10.7297325
   -5.1343822]"
1001_IWL_FEA_XX,ANG,"[-756.1625   -756.1625   -756.1625   ...    9.934546   19.924343
   -3.389328]"
1001_IWL_DIS_XX,NEU,"[-900.20685   -900.20685   -897.36285   ...   -6.0319605  -10.322613
   -6.587429 ]"
1001_ITH_NEU_XX,NEU,"[-9.1654755e+02 -9.1654755e+02 -9.0799866e+02 ...  5.5926800e-02
 -3.3534265e+00 -4.5148201e+00]"
1001_ITH_HAP_XX,NEU,"[-833.9679    -833.9679    -833.9679    ...   -1.4473813    6.6129417
   -5.0469646]"
1001_ITH_SAD_XX,NEU,"[-1028.814     -1027.977      -935.81696   ...    -6.4887996   -13.380571
     1.5877982]"
1001_ITH_ANG_XX,DIS,"[-8.3228058e+02 -8.3228058e+02 -8.3228058e+02 ...  1.1052307e+01
 -6.1836338e-01  3.4451799e+00]"
1001_ITH_FEA_XX,FEA,"[-766.49854   -766.49854   -766.49854   ...   -9.354263    -4.3790784
    2.781861 ]"
1001_ITH_DIS_XX,NEU,"[-9.9510956e+02 -9.9295483e+02 -9.7798651e+02 ... -9.6664596e-01
 -8.3666363e+00 -1.7461967e+01]"
1001_DFA_NEU_XX,NEU,"[-832.0631    -832.0631    -832.0631    ...   -5.92103     -4.3964057
  -12.05398  ]"
1001_DFA_HAP_XX,NEU,"[-818.6271    -818.6271    -818.6271    ...   10.385304     8.296346
   -7.8072567]"
1001_DFA_SAD_XX,NEU,"[-945.05133  -945.05133  -935.043    ...   -4.908331   11.634154
   21.77668 ]"
1001_DFA_ANG_XX,ANG,"[-826.5213    -826.5213    -826.5213    ...    1.5522703   -2.6590278
    7.783639 ]"
1001_DFA_FEA_XX,FEA,"[-7.6265546e+02 -7.6265546e+02 -7.6265546e+02 ... -2.5267878e+00
  5.1304978e-01 -1.1024879e+01]"
1001_DFA_DIS_XX,DIS,"[-902.5767    -902.5767    -899.4773    ...    1.5036987   -6.6678505
   -5.5397887]"
1001_ITS_NEU_XX,NEU,"[-905.4366    -905.4366    -901.2186    ...    7.2242537    4.325222
   12.886492 ]"
1001_ITS_HAP_XX,HAP,"[-778.562     -778.562     -778.562     ...    5.1436276    2.7113729
    1.9717488]"
